t_ms,red,ir,stm_glucose,stm_status,stm_sqi
2720,78893,109625,,,
2730,78823,109518,,,
2740,78756,109461,,,
2750,78688,109362,,,
2760,78625,109291,,,
2770,78549,109216,,,
2780,78525,109161,,,
2790,78491,109117,,,
2800,78458,109090,,,
2810,78454,109082,,,
2820,78475,109061,,,
2830,78461,109108,,,
2840,78495,109103,,,
2850,78546,109149,,,
2860,78545,109210,,,
2870,78624,109243,,,
2880,78640,109301,,,
2890,78711,109379,,,
2900,78799,109475,,,
2910,78844,109557,,,
2920,78925,109669,,,
2930,78981,109738,,,
2940,79086,109829,,,
2950,79159,109933,,,
2960,79212,110049,,,
2970,79304,110122,,,
2980,79351,110197,,,
2990,79415,110279,,,
3000,79225,110030,,,
3010,79196,110021,,,
3020,79224,109992,,,
3030,79173,109971,,,
3040,79163,109941,,,
3050,79144,109906,,,
3060,79125,109919,,,
3070,79128,109885,,,
3080,79103,109901,,,
3090,79130,109910,,,
3100,79143,109921,,,
3110,79101,109903,,,
3120,79120,109910,,,
3130,79126,109908,,,
3140,79141,109931,,,
3150,79155,109912,,,
3160,79141,109939,,,
3170,79146,109932,,,
3180,79129,109939,,,
3190,79127,109910,,,
3200,79096,109885,,,
3210,79112,109890,,,
3220,79082,109855,,,
3230,79056,109801,,,
3240,79014,109782,,,
3250,78998,109743,,,
3260,78977,109697,,,
3270,78936,109665,,,
3280,78912,109652,,,
3290,78884,109625,,,
3300,78855,109586,,,
3310,78820,109537,,,
3320,78820,109529,,,
3330,78826,109531,,,
3340,78842,109534,,,
3350,78865,109565,,,
3360,78878,109638,,,
3370,78954,109708,,,
3380,79032,109795,,,
3390,79129,109910,,,
3400,79244,110053,,,
3410,79393,110224,,,
3420,79518,110362,,,
3430,79658,110565,,,
3440,79754,110739,,,
3450,79908,110896,,,
3460,80054,111027,,,
3470,80158,111177,,,
3480,80192,111283,,,
3490,80265,111326,,,
3500,80265,111356,,,
3510,80290,111340,,,
3520,80250,111326,,,
3530,80233,111250,,,
3540,80147,111186,,,
3550,80058,111095,,,
3560,79988,110989,,,
3570,79949,110921,,,
3580,79853,110829,,,
3590,79796,110740,,,
3600,79742,110655,,,
3610,79697,110636,,,
3620,79658,110545,,,
3630,79604,110500,,,
3640,79558,110438,,,
3650,79483,110348,,,
3660,79426,110282,,,
3670,79352,110174,,,
3680,79254,110081,,,
3690,79182,109963,,,
3700,79090,109825,,,
3710,78981,109737,,,
3720,78924,109635,,,
3730,78839,109517,,,
3740,78753,109439,,,
3750,78684,109342,,,
3760,78606,109273,,,
3770,78565,109196,,,
3780,78549,109164,,,
3790,78512,109100,,,
3800,78468,109094,,,
3810,78477,109079,,,
3820,78466,109045,,,
3830,78464,109115,,,
3840,78486,109128,,,
3850,78516,109153,,,
3860,78550,109206,,,
3870,78618,109247,,,
3880,78634,109333,,,
3890,78724,109411,,,
3900,78783,109497,,,
3910,78836,109572,,,
3920,78897,109652,,,
